date,meal_type,dish_id,servings,use_leftover,notes
2026-03-02,breakfast,fixed_breakfast,1,false,無脂肪ヨーグルト300g+はちみつ+バナナ
2026-03-02,lunch,fixed_lunch_base,1,false,ご飯200g+作り置き肉200g+納豆+ブロッコリー
2026-03-02,dinner,hotcook_herb_lemon_chicken,1,false,
2026-03-03,breakfast,fixed_breakfast,1,false,無脂肪ヨーグルト300g+はちみつ+バナナ
2026-03-03,lunch,fixed_lunch_base,1,false,ご飯200g+作り置き肉200g+納豆+ブロッコリー
2026-03-03,dinner,hotcook_herb_lemon_chicken,1,true,前日残り
2026-03-04,breakfast,fixed_breakfast,1,false,無脂肪ヨーグルト300g+はちみつ+バナナ
2026-03-04,lunch,fixed_lunch_base,1,false,ご飯200g+作り置き肉200g+納豆+ブロッコリー
2026-03-04,dinner,hotcook_pork_hire_demi_style,1,false,
2026-03-05,breakfast,fixed_breakfast,1,false,無脂肪ヨーグルト300g+はちみつ+バナナ
2026-03-05,lunch,fixed_lunch_base,1,false,ご飯200g+作り置き肉200g+納豆+ブロッコリー
2026-03-05,dinner,hotcook_pork_hire_demi_style,1,true,前日残り
2026-03-06,breakfast,fixed_breakfast,1,false,無脂肪ヨーグルト300g+はちみつ+バナナ
2026-03-06,lunch,fixed_lunch_base,1,false,ご飯200g+作り置き肉200g+納豆+ブロッコリー
2026-03-06,dinner,quick_ketchup_chicken_rice_style,1,false,
2026-03-07,breakfast,fixed_breakfast,1,false,無脂肪ヨーグルト300g+はちみつ+バナナ
2026-03-07,lunch,fixed_lunch_base,1,false,ご飯200g+作り置き肉200g+納豆+ブロッコリー
2026-03-07,dinner,pasta_lowfat_tomato_chicken,1,false,週1麺枠
2026-03-08,breakfast,fixed_breakfast,1,false,無脂肪ヨーグルト300g+はちみつ+バナナ
2026-03-08,lunch,fixed_lunch_base,1,false,ご飯200g+作り置き肉200g+納豆+ブロッコリー
2026-03-08,dinner,quick_beef_momo_steak,1,false,
